station_id,waiting_passengers,next_arrivals,timestamp
8,"{0: 4, 1: 23, 2: 8, 3: 12, 4: 10, 5: 27, 6: 30}",{},1736216532.4126627
0,"{0: 16, 1: 11, 2: 11, 3: 15, 4: 16, 5: 22, 6: 17}",{},1736216532.4206645
3,"{0: 24, 1: 6, 2: 13, 3: 17, 4: 28, 5: 11, 6: 17}",{},1736216532.4446676
5,"{0: 22, 1: 23, 2: 4, 3: 20, 4: 29, 5: 27, 6: 26}",{},1736216532.7256873
10,"{0: 28, 1: 23, 2: 23, 3: 17, 4: 1, 5: 18, 6: 15}",{},1736216532.8816965
10,"{0: 28, 1: 23, 2: 23, 3: 17, 4: 1, 5: 18, 6: 15}",{},1736216532.8946974
7,"{0: 8, 1: 27, 2: 27, 3: 7, 4: 18, 5: 3, 6: 6}",{},1736216533.0757093
2,"{0: 15, 1: 15, 2: 11, 3: 27, 4: 28, 5: 15, 6: 14}",{},1736216533.2877262
1,"{0: 25, 1: 29, 2: 24, 3: 2, 4: 18, 5: 7, 6: 25}",{},1736216533.6147497
4,"{0: 27, 1: 18, 2: 26, 3: 21, 4: 20, 5: 7, 6: 5}",{},1736216533.6187534
9,"{0: 30, 1: 22, 2: 3, 3: 19, 4: 23, 5: 30, 6: 10}",{},1736216533.6927557
6,"{0: 21, 1: 14, 2: 16, 3: 30, 4: 1, 5: 12, 6: 14}",{},1736216533.9117715
11,"{0: 14, 1: 15, 2: 24, 3: 29, 4: 28, 5: 14, 6: 25}",{},1736216534.0327806
11,"{0: 14, 1: 19, 2: 24, 3: 29, 4: 28, 5: 14, 6: 25}",{},1736216534.041783
8,"{0: 4, 1: 23, 2: 8, 3: 12, 4: 10, 5: 27, 6: 30}",{},1736216534.4458156
0,"{0: 16, 1: 11, 2: 11, 3: 15, 4: 16, 5: 22, 6: 17}",{},1736216534.455815
3,"{0: 24, 1: 6, 2: 13, 3: 17, 4: 28, 5: 11, 6: 17}",{},1736216534.4658158
5,"{0: 22, 1: 23, 2: 4, 3: 20, 4: 29, 5: 27, 6: 26}",{},1736216534.7268336
10,"{0: 28, 1: 23, 2: 23, 3: 17, 4: 1, 5: 18, 6: 15}",{},1736216534.8958585
7,"{0: 8, 1: 27, 2: 27, 3: 7, 4: 18, 5: 3, 6: 6}",{},1736216535.0718603
12,"{0: 28, 1: 6, 2: 22, 3: 1, 4: 6, 5: 1, 6: 29}",{},1736216535.2618735
12,"{0: 28, 1: 6, 2: 22, 3: 1, 4: 6, 5: 1, 6: 29}",{},1736216535.284876
2,"{0: 15, 1: 15, 2: 11, 3: 27, 4: 28, 5: 15, 6: 14}",{},1736216535.293877
4,"{0: 27, 1: 18, 2: 26, 3: 21, 4: 20, 5: 7, 6: 5}",{},1736216535.615898
1,"{0: 25, 1: 29, 2: 24, 3: 2, 4: 18, 5: 7, 6: 25}",{},1736216535.6209054
9,"{0: 30, 1: 22, 2: 3, 3: 19, 4: 23, 5: 30, 6: 10}",{},1736216535.6939082
6,"{0: 21, 1: 14, 2: 16, 3: 30, 4: 1, 5: 12, 6: 14}",{},1736216535.9209242
11,"{0: 14, 1: 19, 2: 24, 3: 29, 4: 28, 5: 14, 6: 25}",{},1736216536.0469327
8,"{0: 4, 1: 23, 2: 8, 3: 12, 4: 10, 5: 27, 6: 30}",{},1736216536.4959662
0,"{0: 16, 1: 11, 2: 11, 3: 15, 4: 16, 5: 22, 6: 17}",{},1736216536.501966
3,"{0: 24, 1: 6, 2: 13, 3: 17, 4: 28, 5: 11, 6: 17}",{},1736216536.5119693
13,"{0: 18, 1: 12, 2: 17, 3: 3, 4: 7, 5: 15, 6: 15}",{},1736216536.5489702
13,"{0: 23, 1: 12, 2: 17, 3: 3, 4: 7, 5: 15, 6: 15}",{},1736216536.5859745
5,"{0: 22, 1: 23, 2: 4, 3: 20, 4: 29, 5: 27, 6: 26}",{},1736216536.7249856
10,"{0: 28, 1: 23, 2: 23, 3: 17, 4: 1, 5: 18, 6: 15}",{},1736216536.895992
7,"{0: 8, 1: 27, 2: 27, 3: 7, 4: 18, 5: 3, 6: 6}",{},1736216537.0680068
12,"{0: 28, 1: 6, 2: 22, 3: 1, 4: 6, 5: 1, 6: 29}",{},1736216537.2870228
2,"{0: 15, 1: 15, 2: 11, 3: 27, 4: 28, 5: 15, 6: 14}",{},1736216537.2940247
1,"{0: 25, 1: 29, 2: 24, 3: 2, 4: 18, 5: 7, 6: 25}",{},1736216537.6181931
4,"{0: 27, 1: 18, 2: 26, 3: 21, 4: 20, 5: 7, 6: 5}",{},1736216537.623049
9,"{0: 30, 1: 22, 2: 3, 3: 19, 4: 23, 5: 30, 6: 10}",{},1736216537.6940563
14,"{0: 18, 1: 20, 2: 15, 3: 26, 4: 0, 5: 15, 6: 13}",{},1736216537.7720604
14,"{0: 18, 1: 20, 2: 15, 3: 27, 4: 0, 5: 15, 6: 13}",{},1736216537.7860646
6,"{0: 21, 1: 14, 2: 16, 3: 30, 4: 1, 5: 12, 6: 14}",{},1736216538.0370767
11,"{0: 14, 1: 19, 2: 24, 3: 29, 4: 28, 5: 14, 6: 25}",{},1736216538.0460827
8,"{0: 4, 1: 23, 2: 8, 3: 12, 4: 10, 5: 27, 6: 30}",{},1736216538.4911141
0,"{0: 16, 1: 11, 2: 11, 3: 15, 4: 16, 5: 22, 6: 17}",{},1736216538.4955173
3,"{0: 24, 1: 6, 2: 13, 3: 17, 4: 28, 5: 11, 6: 17}",{},1736216538.5225368
13,"{0: 23, 1: 12, 2: 17, 3: 3, 4: 7, 5: 15, 6: 15}",{},1736216538.5705435
5,"{0: 22, 1: 23, 2: 4, 3: 20, 4: 29, 5: 27, 6: 26}",{},1736216538.7265399
10,"{0: 28, 1: 23, 2: 23, 3: 17, 4: 1, 5: 18, 6: 15}",{},1736216538.900553
15,"{0: 25, 1: 2, 2: 13, 3: 22, 4: 0, 5: 0, 6: 4}",{},1736216539.0475638
15,"{0: 25, 1: 2, 2: 17, 3: 22, 4: 0, 5: 0, 6: 4}",{},1736216539.058566
7,"{0: 8, 1: 27, 2: 27, 3: 7, 4: 18, 5: 3, 6: 6}",{},1736216539.0685613
2,"{0: 15, 1: 15, 2: 11, 3: 27, 4: 28, 5: 15, 6: 14}",{},1736216539.2865775
12,"{0: 28, 1: 6, 2: 22, 3: 1, 4: 6, 5: 1, 6: 29}",{},1736216539.2905786
1,"{0: 25, 1: 29, 2: 24, 3: 2, 4: 18, 5: 7, 6: 25}",{},1736216539.6146164
4,"{0: 27, 1: 18, 2: 26, 3: 21, 4: 20, 5: 7, 6: 5}",{},1736216539.6186037
9,"{0: 30, 1: 22, 2: 3, 3: 19, 4: 23, 5: 30, 6: 10}",{},1736216539.694613
14,"{0: 18, 1: 20, 2: 15, 3: 27, 4: 0, 5: 15, 6: 13}",{},1736216539.7876186
6,"{0: 21, 1: 14, 2: 16, 3: 30, 4: 1, 5: 12, 6: 14}",{},1736216540.172646
11,"{0: 14, 1: 19, 2: 24, 3: 29, 4: 28, 5: 14, 6: 25}",{},1736216540.1856494
16,"{0: 29, 1: 25, 2: 11, 3: 10, 4: 11, 5: 19, 6: 12}",{},1736216540.3486605
16,"{0: 29, 1: 25, 2: 11, 3: 10, 4: 11, 5: 19, 6: 12}",{},1736216540.3646586
0,"{0: 16, 1: 11, 2: 11, 3: 15, 4: 16, 5: 22, 6: 17}",{},1736216540.4916694
8,"{0: 4, 1: 23, 2: 8, 3: 12, 4: 10, 5: 27, 6: 30}",{},1736216540.4976683
3,"{0: 24, 1: 6, 2: 13, 3: 17, 4: 28, 5: 11, 6: 17}",{},1736216540.5226698
13,"{0: 23, 1: 12, 2: 17, 3: 3, 4: 7, 5: 15, 6: 15}",{},1736216540.568674
5,"{0: 22, 1: 23, 2: 4, 3: 20, 4: 29, 5: 27, 6: 26}",{},1736216540.725688
10,"{0: 28, 1: 23, 2: 23, 3: 17, 4: 1, 5: 18, 6: 15}",{},1736216540.8967075
15,"{0: 25, 1: 2, 2: 17, 3: 22, 4: 0, 5: 0, 6: 4}",{},1736216541.0377116
7,"{0: 8, 1: 27, 2: 27, 3: 7, 4: 18, 5: 3, 6: 6}",{},1736216541.0697134
12,"{0: 28, 1: 6, 2: 22, 3: 1, 4: 6, 5: 1, 6: 29}",{},1736216541.2927299
2,"{0: 15, 1: 15, 2: 11, 3: 27, 4: 28, 5: 15, 6: 14}",{},1736216541.3027282
17,"{0: 3, 1: 29, 2: 0, 3: 30, 4: 19, 5: 11, 6: 5}",{},1736216541.519745
17,"{0: 3, 1: 29, 2: 0, 3: 30, 4: 19, 5: 11, 6: 5}",{},1736216541.533749
1,"{0: 25, 1: 29, 2: 24, 3: 2, 4: 18, 5: 7, 6: 25}",{},1736216541.6177545
4,"{0: 27, 1: 18, 2: 26, 3: 21, 4: 20, 5: 7, 6: 5}",{},1736216541.6277554
9,"{0: 30, 1: 22, 2: 3, 3: 19, 4: 23, 5: 30, 6: 10}",{},1736216541.6927588
14,"{0: 18, 1: 20, 2: 15, 3: 27, 4: 0, 5: 15, 6: 13}",{},1736216541.787765
6,"{0: 21, 1: 14, 2: 16, 3: 30, 4: 1, 5: 12, 6: 14}",{},1736216542.1618066
11,"{0: 14, 1: 19, 2: 24, 3: 29, 4: 28, 5: 14, 6: 25}",{},1736216542.1938007
16,"{0: 29, 1: 25, 2: 11, 3: 10, 4: 11, 5: 19, 6: 12}",{},1736216542.3648076
8,"{0: 4, 1: 23, 2: 8, 3: 12, 4: 10, 5: 27, 6: 30}",{},1736216542.5258205
0,"{0: 16, 1: 11, 2: 11, 3: 15, 4: 16, 5: 22, 6: 17}",{},1736216542.5318224
3,"{0: 24, 1: 6, 2: 13, 3: 17, 4: 28, 5: 11, 6: 17}",{},1736216542.542823
13,"{0: 23, 1: 12, 2: 17, 3: 3, 4: 7, 5: 15, 6: 15}",{},1736216542.5688229
18,"{0: 25, 1: 3, 2: 24, 3: 13, 4: 20, 5: 20, 6: 16}",{},1736216542.705835
18,"{0: 25, 1: 3, 2: 24, 3: 13, 4: 20, 5: 20, 6: 16}",{},1736216542.7208383
5,"{0: 22, 1: 23, 2: 4, 3: 20, 4: 29, 5: 27, 6: 26}",{},1736216542.7308373
10,"{0: 28, 1: 23, 2: 23, 3: 17, 4: 1, 5: 18, 6: 15}",{},1736216542.898848
15,"{0: 25, 1: 2, 2: 17, 3: 22, 4: 0, 5: 0, 6: 4}",{},1736216543.037874
7,"{0: 8, 1: 27, 2: 27, 3: 7, 4: 18, 5: 3, 6: 6}",{},1736216543.0688627
12,"{0: 28, 1: 6, 2: 22, 3: 1, 4: 6, 5: 1, 6: 29}",{},1736216543.2888787
2,"{0: 15, 1: 15, 2: 11, 3: 27, 4: 28, 5: 15, 6: 14}",{},1736216543.295879
17,"{0: 3, 1: 29, 2: 0, 3: 30, 4: 19, 5: 11, 6: 5}",{},1736216543.607921
1,"{0: 25, 1: 29, 2: 24, 3: 2, 4: 18, 5: 7, 6: 25}",{},1736216543.6509066
4,"{0: 27, 1: 18, 2: 26, 3: 21, 4: 20, 5: 7, 6: 5}",{},1736216543.6979067
9,"{0: 30, 1: 22, 2: 3, 3: 19, 4: 23, 5: 30, 6: 10}",{},1736216543.879921
14,"{0: 18, 1: 20, 2: 15, 3: 27, 4: 0, 5: 15, 6: 13}",{},1736216543.886921
6,"{0: 21, 1: 14, 2: 16, 3: 30, 4: 1, 5: 12, 6: 14}",{},1736216545.1689687
11,"{0: 14, 1: 19, 2: 24, 3: 29, 4: 28, 5: 14, 6: 25}",{},1736216545.1769106
16,"{0: 29, 1: 25, 2: 11, 3: 10, 4: 11, 5: 19, 6: 12}",{},1736216545.1819108
8,"{0: 4, 1: 23, 2: 8, 3: 12, 4: 10, 5: 27, 6: 30}",{},1736216545.1889124
0,"{0: 16, 1: 11, 2: 11, 3: 15, 4: 16, 5: 22, 6: 17}",{},1736216545.2259147
3,"{0: 24, 1: 6, 2: 13, 3: 17, 4: 28, 5: 11, 6: 17}",{},1736216545.2329178
13,"{0: 23, 1: 12, 2: 17, 3: 3, 4: 7, 5: 15, 6: 15}",{},1736216545.2369275
18,"{0: 25, 1: 3, 2: 24, 3: 13, 4: 20, 5: 20, 6: 16}",{},1736216545.244917
5,"{0: 22, 1: 23, 2: 4, 3: 20, 4: 29, 5: 27, 6: 26}",{},1736216545.2509167
10,"{0: 28, 1: 23, 2: 23, 3: 17, 4: 1, 5: 18, 6: 15}",{},1736216545.255918
15,"{0: 25, 1: 2, 2: 17, 3: 22, 4: 0, 5: 0, 6: 4}",{},1736216545.2649171
7,"{0: 8, 1: 27, 2: 27, 3: 7, 4: 18, 5: 3, 6: 6}",{},1736216545.2749205
12,"{0: 28, 1: 6, 2: 22, 3: 1, 4: 6, 5: 1, 6: 29}",{},1736216545.2929194
2,"{0: 15, 1: 15, 2: 11, 3: 27, 4: 28, 5: 15, 6: 14}",{},1736216545.2989182
17,"{0: 3, 1: 29, 2: 0, 3: 30, 4: 19, 5: 11, 6: 5}",{},1736216546.511968
1,"{0: 25, 1: 29, 2: 24, 3: 2, 4: 18, 5: 7, 6: 25}",{},1736216546.51997
4,"{0: 27, 1: 18, 2: 26, 3: 21, 4: 20, 5: 7, 6: 5}",{},1736216546.5259705
9,"{0: 30, 1: 22, 2: 3, 3: 19, 4: 23, 5: 30, 6: 10}",{},1736216546.5349712
14,"{0: 18, 1: 20, 2: 15, 3: 27, 4: 0, 5: 15, 6: 13}",{},1736216546.5459764
6,"{0: 21, 1: 14, 2: 16, 3: 30, 4: 1, 5: 12, 6: 14}",{},1736216547.7646945
11,"{0: 14, 1: 19, 2: 24, 3: 29, 4: 28, 5: 14, 6: 25}",{},1736216547.7706957
16,"{0: 29, 1: 25, 2: 11, 3: 10, 4: 11, 5: 19, 6: 12}",{},1736216547.7786987
8,"{0: 4, 1: 23, 2: 8, 3: 12, 4: 10, 5: 27, 6: 30}",{},1736216547.783696
3,"{0: 24, 1: 6, 2: 13, 3: 17, 4: 28, 5: 11, 6: 17}",{},1736216547.7886963
0,"{0: 16, 1: 11, 2: 11, 3: 15, 4: 16, 5: 22, 6: 17}",{},1736216547.7967005
18,"{0: 25, 1: 3, 2: 24, 3: 13, 4: 20, 5: 20, 6: 16}",{},1736216547.8026986
13,"{0: 23, 1: 12, 2: 17, 3: 3, 4: 7, 5: 15, 6: 15}",{},1736216547.8087032
10,"{0: 28, 1: 23, 2: 23, 3: 17, 4: 1, 5: 18, 6: 15}",{},1736216547.8146987
5,"{0: 22, 1: 23, 2: 4, 3: 20, 4: 29, 5: 27, 6: 26}",{},1736216547.8217003
7,"{0: 8, 1: 27, 2: 27, 3: 7, 4: 18, 5: 3, 6: 6}",{},1736216547.827701
15,"{0: 25, 1: 2, 2: 17, 3: 22, 4: 0, 5: 0, 6: 4}",{},1736216547.834702
12,"{0: 28, 1: 6, 2: 22, 3: 1, 4: 6, 5: 1, 6: 29}",{},1736216547.8387012
2,"{0: 15, 1: 15, 2: 11, 3: 27, 4: 28, 5: 15, 6: 14}",{},1736216547.8447018
17,"{0: 3, 1: 29, 2: 0, 3: 30, 4: 19, 5: 11, 6: 5}",{},1736216549.0505393
4,"{0: 27, 1: 18, 2: 26, 3: 21, 4: 20, 5: 7, 6: 5}",{},1736216549.0545218
1,"{0: 25, 1: 29, 2: 24, 3: 2, 4: 18, 5: 7, 6: 25}",{},1736216549.0605261
14,"{0: 18, 1: 20, 2: 15, 3: 27, 4: 0, 5: 15, 6: 13}",{},1736216549.0665236
9,"{0: 30, 1: 22, 2: 3, 3: 19, 4: 23, 5: 30, 6: 10}",{},1736216549.0715237
6,"{0: 21, 1: 14, 2: 16, 3: 30, 4: 1, 5: 12, 6: 14}",{},1736216550.277601
11,"{0: 14, 1: 19, 2: 24, 3: 29, 4: 28, 5: 14, 6: 25}",{},1736216550.2836015
16,"{0: 29, 1: 25, 2: 11, 3: 10, 4: 11, 5: 19, 6: 12}",{},1736216550.2916028
0,"{0: 16, 1: 11, 2: 11, 3: 15, 4: 16, 5: 22, 6: 17}",{},1736216550.305603
8,"{0: 4, 1: 23, 2: 8, 3: 12, 4: 10, 5: 27, 6: 30}",{},1736216550.3166044
3,"{0: 24, 1: 6, 2: 13, 3: 17, 4: 28, 5: 11, 6: 17}",{},1736216550.3276055
13,"{0: 23, 1: 12, 2: 17, 3: 3, 4: 7, 5: 15, 6: 15}",{},1736216550.333607
18,"{0: 25, 1: 3, 2: 24, 3: 13, 4: 20, 5: 20, 6: 16}",{},1736216550.3386078
5,"{0: 22, 1: 23, 2: 4, 3: 20, 4: 29, 5: 27, 6: 26}",{},1736216550.3456078
10,"{0: 28, 1: 23, 2: 23, 3: 17, 4: 1, 5: 18, 6: 15}",{},1736216550.351609
15,"{0: 25, 1: 2, 2: 17, 3: 22, 4: 0, 5: 0, 6: 4}",{},1736216550.3586106
12,"{0: 28, 1: 6, 2: 22, 3: 1, 4: 6, 5: 1, 6: 29}",{},1736216550.3636076
7,"{0: 8, 1: 27, 2: 27, 3: 7, 4: 18, 5: 3, 6: 6}",{},1736216550.3686085
2,"{0: 15, 1: 15, 2: 11, 3: 27, 4: 28, 5: 15, 6: 14}",{},1736216550.3786101
5,"{0: 22, 1: 23, 2: 4, 3: 20, 4: 29, 5: 27, 6: 26}",{},1736216553.5646348
4,"{0: 27, 1: 18, 2: 26, 3: 21, 4: 20, 5: 7, 6: 5}",{},1736216553.5706358
1,"{0: 25, 1: 29, 2: 24, 3: 2, 4: 18, 5: 7, 6: 25}",{},1736216553.5816379
17,"{0: 3, 1: 29, 2: 0, 3: 30, 4: 19, 5: 11, 6: 5}",{},1736216553.5886366
9,"{0: 30, 1: 22, 2: 3, 3: 19, 4: 23, 5: 30, 6: 10}",{},1736216553.5986392
14,"{0: 18, 1: 20, 2: 15, 3: 27, 4: 0, 5: 15, 6: 13}",{},1736216553.603639
6,"{0: 21, 1: 14, 2: 16, 3: 30, 4: 1, 5: 12, 6: 14}",{},1736216553.6156409
11,"{0: 14, 1: 19, 2: 24, 3: 29, 4: 28, 5: 14, 6: 25}",{},1736216553.6196408
0,"{0: 16, 1: 11, 2: 11, 3: 15, 4: 16, 5: 22, 6: 17}",{},1736216553.6306396
16,"{0: 29, 1: 25, 2: 11, 3: 10, 4: 11, 5: 19, 6: 12}",{},1736216553.636643
8,"{0: 4, 1: 23, 2: 8, 3: 12, 4: 10, 5: 27, 6: 30}",{},1736216553.6446435
18,"{0: 25, 1: 3, 2: 24, 3: 13, 4: 20, 5: 20, 6: 16}",{},1736216553.6506445
3,"{0: 24, 1: 6, 2: 13, 3: 17, 4: 28, 5: 11, 6: 17}",{},1736216553.6546412
13,"{0: 23, 1: 12, 2: 17, 3: 3, 4: 7, 5: 15, 6: 15}",{},1736216553.6636426
10,"{0: 28, 1: 23, 2: 23, 3: 17, 4: 1, 5: 18, 6: 15}",{},1736216553.6706445
15,"{0: 25, 1: 2, 2: 17, 3: 22, 4: 0, 5: 0, 6: 4}",{},1736216553.677647
12,"{0: 28, 1: 6, 2: 22, 3: 1, 4: 6, 5: 1, 6: 29}",{},1736216553.6826453
7,"{0: 8, 1: 27, 2: 27, 3: 7, 4: 18, 5: 3, 6: 6}",{},1736216553.6866493
2,"{0: 15, 1: 15, 2: 11, 3: 27, 4: 28, 5: 15, 6: 14}",{},1736216553.6956484
5,"{0: 22, 1: 23, 2: 4, 3: 20, 4: 29, 5: 27, 6: 26}",{},1736216555.7227676
4,"{0: 27, 1: 18, 2: 26, 3: 21, 4: 20, 5: 7, 6: 5}",{},1736216555.7307673
5,"{0: 22, 1: 23, 2: 4, 3: 20, 4: 29, 5: 27, 6: 26}",{},1736216563.8083608
1,"{0: 25, 1: 29, 2: 24, 3: 2, 4: 18, 5: 7, 6: 25}",{},1736216565.8324842
17,"{0: 3, 1: 29, 2: 0, 3: 30, 4: 19, 5: 11, 6: 5}",{},1736216565.8374867
9,"{0: 30, 1: 22, 2: 3, 3: 19, 4: 23, 5: 30, 6: 10}",{},1736216565.8414931
6,"{0: 21, 1: 14, 2: 16, 3: 30, 4: 1, 5: 12, 6: 14}",{},1736216565.8474872
14,"{0: 18, 1: 20, 2: 15, 3: 27, 4: 0, 5: 15, 6: 13}",{},1736216565.8554883
0,"{0: 16, 1: 11, 2: 11, 3: 15, 4: 16, 5: 22, 6: 17}",{},1736216565.863488
16,"{0: 29, 1: 25, 2: 11, 3: 10, 4: 11, 5: 19, 6: 12}",{},1736216565.8674874
11,"{0: 14, 1: 19, 2: 24, 3: 29, 4: 28, 5: 14, 6: 25}",{},1736216565.87249
8,"{0: 4, 1: 23, 2: 8, 3: 12, 4: 10, 5: 27, 6: 30}",{},1736216565.88049
18,"{0: 25, 1: 3, 2: 24, 3: 13, 4: 20, 5: 20, 6: 16}",{},1736216565.885493
3,"{0: 24, 1: 6, 2: 13, 3: 17, 4: 28, 5: 11, 6: 17}",{},1736216565.8904915
13,"{0: 23, 1: 12, 2: 17, 3: 3, 4: 7, 5: 15, 6: 15}",{},1736216565.898489
12,"{0: 28, 1: 6, 2: 22, 3: 1, 4: 6, 5: 1, 6: 29}",{},1736216565.904491
10,"{0: 28, 1: 23, 2: 23, 3: 17, 4: 1, 5: 18, 6: 15}",{},1736216565.9114902
15,"{0: 25, 1: 2, 2: 17, 3: 22, 4: 0, 5: 0, 6: 4}",{},1736216565.9164915
2,"{0: 15, 1: 15, 2: 11, 3: 27, 4: 28, 5: 15, 6: 14}",{},1736216565.922495
7,"{0: 8, 1: 27, 2: 27, 3: 7, 4: 18, 5: 3, 6: 6}",{},1736216565.9304967
4,"{0: 27, 1: 18, 2: 26, 3: 21, 4: 20, 5: 7, 6: 5}",{},1736216566.961466
5,"{0: 22, 1: 23, 2: 4, 3: 20, 4: 29, 5: 27, 6: 26}",{},1736216569.9952354
4,"{0: 27, 1: 18, 2: 26, 3: 21, 4: 20, 5: 7, 6: 5}",{},1736216576.0648737
5,"{0: 22, 1: 23, 2: 4, 3: 20, 4: 29, 5: 27, 6: 26}",{},1736216581.1274574
1,"{0: 25, 1: 29, 2: 24, 3: 2, 4: 18, 5: 7, 6: 25}",{},1736216585.2118268
9,"{0: 30, 1: 22, 2: 3, 3: 19, 4: 23, 5: 30, 6: 10}",{},1736216585.2168286
17,"{0: 3, 1: 29, 2: 0, 3: 30, 4: 19, 5: 11, 6: 5}",{},1736216585.2208285
14,"{0: 18, 1: 20, 2: 15, 3: 27, 4: 0, 5: 15, 6: 13}",{},1736216585.2268293
6,"{0: 21, 1: 14, 2: 16, 3: 30, 4: 1, 5: 12, 6: 14}",{},1736216585.2328315
